content;score;value;target
Sangat membantu kalau lg malas keluar dan malas masak , apalagi suka banyak discountnya;5;POSITIF;1
ngebantu banget gojek kalo buat apa2.. cuma kalo ujan signal suka lost.. jadi suka salah titik gitu kalo lagi nge gofood atau goshop..;5;POSITIF;1
Untuk aplikasinya ga pernah mengecewakan. Tapi drivernya ... Pernah dapet yang agak arogan but gpp lah;5;POSITIF;1
Selalu hilang sendiri tolong di perbaiki dong apk nya.;5;POSITIF;1
Mohon di perbaiki lagi biyar lebih lancar,, keadaan sinyal kuat internet hidup ko keteranganya internet nya mati terus.;5;POSITIF;1
Aplikasi ini sangat mudah digunakan meskipun oleh pemula seperti saya. Drivernya banyak, sehingga layanan cepat. Harga terjangkau dan banyak diskonnya.;5;POSITIF;1
Bagus sih tapi promo makin dikit dn ga bisa dipakai multi promo seperti dulu;5;POSITIF;1
Driver nya ramah sopan dan penjemputannya sangat cepat.luar biasaa...;5;POSITIF;1
Pengantaran cepat, pembayaran bisa pakai playleter bayar hbs bulan lg.;5;POSITIF;1
Sangat membantu kami yg membutuhkan transportasi. Alhamdulillah naiknya cuma 1000, dr 11rb ganti harga 12rb. Gpp lah. Kl bisa dapet bonus dong kan tiap hari pakai. /10 dapat bonus 1x kan lumayan????Terima kasih...;5;POSITIF;1
Saya pusing ni kok rute petanya hilang sih, enggak ada gambar pusing saya perjalanan saya terhambat ini, tolong diperiksa lagi kelayakan aplikasi ini dah.;5;POSITIF;1
Bagus banget aplikasinya, saya 2 hari yang lalu top up pake gopay, tapi gak masuk-masuk. Sayanya sih bodoamat karena cuma 15 k doang.. eh, gak taunya dana saldo gopay saya kembali lagi setelah 2 hari menunggu. Emang the best banget dah ini aplikasi;5;POSITIF;1
Menu lumayan lengkap, cs fast respon, semoga pelayanannya makin ditingkatkan lagi,sukses trus gojek;5;POSITIF;1
bagus banget aplikasi ini,membantu sekali buat transaksi belanjaku.;5;POSITIF;1
Thankyouu gojek atas promonyaa pas bokek selama kuliah heheh, bokek pun tetep bisa makan enak berkat gojek ?? Sejauh ini ngga ada trouble apapun sih, aplikasi ngga berat dan cukup akurat petanya. Semoga terus maju dan berkembang kedepannya;5;POSITIF;1
Pengalamannya: alamat saya tidak bisa muncul, selalu yg muncul alamat gang sebelah..;5;POSITIF;1
ngebantu aku klo lagi males bli makanan di luar, bisa pake gofood deh sukaa??cara pesennya juga mudah & praktis banget;5;POSITIF;1
Selalu bisa di andalkan, terus berkembang baik untuk selalu bisa berproduktif.;5;POSITIF;1
Mapsnya kenapa ya akhir-akhir ini? Ini titiknya udah tepat, tapi kata kang drivernya belum.. masih jarak sekian lagi gitu.. aneh bgt... padahal selama ini ga pernah bermasalah...;5;POSITIF;1
Cukup membantu dg adanya goride,tapi skrg tarif nya tinggi terus;5;POSITIF;1
Respon cpt. Cuma skrg lmyn mahal ya tarifnya. Untung ada promo jdinya g terlalu mahal;5;POSITIF;1
Kenapa yaa gak bisa masuk aplikasi,udah uninstall dan download lagi tetep aja begitu,sayang uy gopay nya mau gofood ??;5;POSITIF;1
Mantap, sangat membantu dalam berpergian, pengemudi baik dan tepat waktu;5;POSITIF;1
Aplikasi Platform Merdeka Mengajar dibuat kayak gojek dong Pak. Sekalian sekali-kali ada bonus vouchernya.;5;POSITIF;1
App gojek nya scr overall bagus??, fitur fitur nya ga nge bugs, tambahin banyak promo yakk pihak gojek hehehe apalagi yg go ride, hehehe. Terimakasih??;5;POSITIF;1
Mantap, sangat membantu mobilitas, kembangkan lagi fiturnya dan tambahin promo-promo menarik.;5;POSITIF;1
Solusi buat anda yg pengen makan tapi mager, pengen pergi males nyetir sendiri, pengen kirim barang males anter anter sendiri dan banyak lagi layanan lainya. Cukup dengan satu aplikasi banyak solusi;5;POSITIF;1
sistem berkat bukan jadi berkat buat driver. malah berkarat driver.;5;POSITIF;1
Waktu penjemputan tepat jalan ditutup dan kita jalan msh ditunggu. Thanks ya;5;POSITIF;1
Bete banget anjir gue Ama nii aplikasi, gue update kenapa malah jadi sering log out DG sendirinya?but yaudahlah GPP, untung gue udah cinta bgt ni Ama gojek ?? Mau pake g*** cuma udah sreg di gojek?????? but ayo dong developer kalian semangat dong buat memperbaiki bug nya, yuk bisa yuk.;5;POSITIF;1
Aplikasi yang Super super sekali dan sangat sangat membantu kami dan apalagi masyarakat yg selalu dalam kondisi yg mungkin sibuk, mengalami sakit dan hal2 lain yg tidak bisa dikerjakan sendiri. Terimakasih Gojek Ina, semoga selalu ramah, handal, cepat, dan selalu bermanfaat dimanapun anda berada. Dlm lindungan Allah SWT;5;POSITIF;1
Alamat rumah saya d map kadang gak sesuai titik. Rumah saya masuk d gang kecil, jadi tidak ada d map. Banyak nyasar gojeknya. Tolong d perbaiki;5;POSITIF;1
Kenapa tidak ada fitur kembali atau fitur pembatalan saat kita salah pencet untuk memberikan bintang kepada driver , dan juga untuk menu bantuan hanya searah jadi kita gak bisa chat sesuai kebutuhan jadi kayak nya akan menyudutkan driver ...soal nya menunya komplain saja;5;POSITIF;1
Sangat menyenangkan dan cukup membantu d setiap perjalanan,;5;POSITIF;1
Pagi ni saat mau mesen gocar, kaget koq tiba2 gak ada gocar d app nya, yg lain ada, terpaksa uninstall trs instal ulang lagi deh..;5;POSITIF;1
17 Sep 2022, Aplikasi Menyenangkan akan tetapi UI masih sedikit membingungkan;5;POSITIF;1
mau ksh saran min,tolong aplikasi pemesan drver kl udh pesen di kunci biar ga kepencet pesen ulang,kshan sm orng yg udh tua atau ga paham,kshan jg buat mamang ojol nya udh smpe tmpt ga tau nya udh naik kedrver lain tnpa di batalin,sy sering bnget dimnta bantuan orng yg udh tua krna kepecet pesen 2x ??;5;POSITIF;1
Suka banget pake gojek, satu catetan untuk gojek untuk go send nya adain fitur pakai mobil yah, soalnya klo mau kirim barang banyak ga bisa pakai mobil. Sayang banget;5;POSITIF;1
Tolong utk sistem gojek , Carikan driver terdekat jadi penumpang lama nunggu driver ( driver tdk salah ) tapi kenapa dicarikan driver yg jauh. Buang waktu utk tunggu hingga efek tertinggal krl buang waktu lagi. Sudah berapa kali terjadi di pesanan saya. Tolong diperhatikan sistemnya. Terima kasih;5;POSITIF;1
Respon cepat n penjemputan cepat. Pemilihan Rute jg bijaksana.;5;POSITIF;1
Pesan antar sangat mudah, aplikasi bagus banget;5;POSITIF;1
Penggunaan aplikasinya terlalu rame tidak seperti aplikasi sebelumnya, mudah digunakan dan tidak kebanyakan motif. Mohon diperbaiki agar pengguna lebih nyaman ??;5;POSITIF;1
User friendly.... Feature nya lengkap, bisa paylater lagi , sangat membantu dalam kondisi urgent;5;POSITIF;1
Senangnya punya aplikasi gojek. Bisa dianter depan pagar dan dijemput depan pagar. Mempermudah perjalanan dengan harga yang lumayan terjangkau. Dan mempermudah mencari kendaraan di tempat yang tidak dilewati angkutan umum ????;5;POSITIF;1
Trimakasih sudah mengantarkan setiap pesanan dan perjalanan;5;POSITIF;1
Sempat galat sekitar 3 mingguan di gadged saya. Sampe bales balesan email sama CS demi mecahin masalah yang tak kunjung berbuah hasil. Akhirnya berhasil juga tim IT buat mecahin masalah ini dalam waktu 2 mingguan. Wkwkwkkwkw;5;POSITIF;1
Komunikasi bgs, cepat, tepat wktu, tahu bnr lokasi, ramah dan membantu sekali. Terimakasih byk;5;POSITIF;1
Bagaimana saya memperbaiki porforma kalau di kasih orderannya ngk sesuai dengan harganya jadi banyak yang batalin sekarang jadi gagu apalagi dapat toko pedia kita jalanin lokasi pengantarannya tidak sesuai titiknya terkadang lebih dari 500m atau 1 kilo dari pengantaran semula tolong perbaiki lokasinya;5;POSITIF;1
Layanan sdh bagus armadanya banyak jd cepat dapat mobilnya. Trims;5;POSITIF;1
Aplikasi yg sangat membantu karna dilengkapi berbagai fitur;5;POSITIF;1
Aplikasinya bagus bs mempercepat apa yg diinginkan. TAPI..... yg sangat gak baik, kelakuan gojek sekarang ngawur² SELALU suka buat bahaya penumpang dan pengendara lain. Tolong lbh diperhatikan lg kl driver liat/pegang HP berhenti pinggir bentar biar aman buat semuanya;5;POSITIF;1
Fitur update terbaru nya saya kurang suka. Kenapa fitur top up nya jadi lebih terbatas dari pada yang lalu;5;POSITIF;1
GOPaylater saya tidak muncul. Padahal sudah anak Sultan ?? Tolong diperbaiki, Terima kasih;5;POSITIF;1
Sangat membantu untuk bepergian yang mendadsk/penting, cuma itu y skr ongkosnya naik teruuuss.;5;POSITIF;1
Bagus banget buat bepergian nyaman dan aman ter debest lah gojek mantep. Dan bisa dapat voucher juga yuk yang blm download segera download;5;POSITIF;1
Hai, sudah seminggu lebih fitur gofood pesan antar tidak bisa digunakan, hanya pickup saja kenapa ya ? Tertulis driver tidak ada disekitar restoran, padahal setiap harinya banyak driver direstoran itu.;5;POSITIF;1
Sangat membantu dan fiturnya sangat memuaskan, serta aplikasi yang mudah di mengerti. Serta banyak promo cashbacknya, Terimakasih banyak gojek ?;5;POSITIF;1
Mudah, cepat, murah, sesuai pesanan, ramah;5;POSITIF;1
aplikasi yg sangat bagus, sangat membantu kesaharian saya dan anak-anak;5;POSITIF;1
Akurasi maps sudah lebih baik dari sebelumnya. Mohon tingkatkan;5;POSITIF;1
Jangkauannya jaraknya luar biasa, bisa memesan makanan dari rumah ke diberbagai wilayah diindonesia . Hanya bila mau memgambil promo saya bingung menggunakan aplikasi. Bisa dibuat simpel Gojek. Tk;5;POSITIF;1
"Kemarin sempat kesal karena setiap buka Aplikasi gojek selalu keluar sendiri, terus buat laporan masih kendala, dan terus di ulang"" eh katanya hp sayanya memadai, Tapi sekarang Alhamdulillah bisa pake aplikasi gojek lagi, Terima kasih atas responnya, Dan semoga Aplikasi gojek bisa lebih memudahkan lagi.??";5;POSITIF;1
Yg bikin bingung mau go med, tidak puas karna tidak bisa mencari nama obat2an yang diperlukan. Saat clsearch terhubung ke halodoc dan prosesnya tidak bisa dipahami terlalu rumit untuk saya saat pembayaran padahal saldo gopay mencukupi. Akhirnya titip tetangga nyari ke apotek;5;POSITIF;1
Gofood nya top banget deh, pesanan slalu diantarin cepat dan banyak promo discount nya ??;5;POSITIF;1
Gojek saya mau tanya bagaimana cara menghapus akun lama dikarenakan kartu hilang sedangkan sudah di upragade premium pake ktp, saya mau ganti premium nya ke akun baru biar bisa transfer dll;5;POSITIF;1
"Setelah di update,maps buat nunjukin lokasi terkini abang gojeknya gak gerak"" dari toko. Padahal itu membantu banget buat tau lokasi pesanan kita. Terlebih itu juga bisa ngeringankan biaya pulsa abang gojeknya karena kita udah stand by sebelum abang gojeknya nyampe ke lokasi pengiriman";5;POSITIF;1
Setiap pesen goride daerah Tasikmalaya, drivernya aneh, dibilangin lajunya pelan2 selalu saja ngebut, mau pergi ke IGD kali ya tuh driver. Jangan bawa2 penumpang kalau mau ke IGD, pergi saja sendiri.;5;POSITIF;1
Mohon untuk bisa mengganti lokasi rumah pribadi secara manual dan tidak otomatis,,,karna saya mau ganti alamat rumah tapi tidak bisa2 dan nyasar ke rumah orang mulu dan orang itu tidak terima.. itu sangat penting untuk saya karna saya punya bisnis online dan sering pake ojol untuk pengiriman,tapi karna alamatnya tidak sesuai rumah saya jadi pada nyasar ke tempat orang dan itu sangat mengganggu.. mohon di perbaiki untuk menentukan lokasi nya;5;POSITIF;1
Sejauh menggunakan aplikasi GO-JEK, saya merasa terbantu... Walaupun agak kaget dengan ongkos kirim pas order makanan (sekitar 15rb), tp di maklumin karna harga BBM juga naik... Selebihnya sejauh ini nyaman pake aplikasi gojek;5;POSITIF;1
Maaf saya kasih 3 bintang dulu Soalnya telah di-update bukan tambah baik malah tambah buruk Tolong dong diperbaiki kepada pihak go-jek aplikasinya untuk pengguna HP Android untuk tunanetra kurang akses¹¹ Ketika mau chatting sama driver tombol kirimnya tidak terbaca untuk scan Reader membaca layar TalkBack tunanetra tombol kirimnya diketuk tidak ada yang ada hanya tombol kamera Untuk tunanetra aplikasi gojek ini makin lama tidak aksesibel;5;POSITIF;1
Aplikasi yg mudah di gunakan, waktu yg tepat jg dalam penjemputan. Sangat membantu dalam mencari transportasi baij sepeda motor maupun mobil.;5;POSITIF;1
baguss..ada komplain lgsg ditanggapin tanpa ribet. jd 2 kali sy kurang pesanan waktu order di gomart..lgsg diganti senilai harga barang+dpet voucher jg.promony tolong banyakin..khususny gomart ny ya;5;POSITIF;1
Sangat membantu kalau lg mager pesan makanan jd lbh mudah;5;POSITIF;1
Aplikasi sangat lengkap & bermanfaat, hargamurah dan bersaing, saya sangat menyukainya ??????????;5;POSITIF;1
Mantap. Aplikasinya semakin bagus. Semoga aplikasi gojek semakin maju.;5;POSITIF;1
Aplikasinya bagus sih tapi Sudah 2 tahun pakai aplikasi ini ,tapi makin lama kok semakin mahal ongkirnya , ongkir lebih mahal dari harga makanannya , promonya juga tidak bisa dipakai;5;POSITIF;1
Gak bisa diakses loadingnya jalan tapi ga selesai selesai apa karna belum update ya? Setelah update malah gak bisa dibuka ?? btw jujur lumayan kewalahan sih sama gojek sekarang gak sederhana gitu interface nya lumayan ribet. Nih udah di re-install lagi tapi gak bisa login sedikit kesal sih padahal udah setia ama gojek gara2 karya anak bangsa;5;POSITIF;1
apik enyak nyaman tenan tapi aplikasinya kurang puas... update lokasinya lambat pooolll... gojeknya suka nyasar ke tempat yg sama walau sudah dipandu. titiknya nggak bisa dirubah nggak ada pilihan yg akurat;5;POSITIF;1
saya kasih lima bintang karna saya merasa puas dengan aplikasi ini mudah dan ngk banyak ribet pokok mantap bangat gojek semoga ke depanx tambah bagus lagi;5;POSITIF;1
Alhamdulillah dlm perjalanan merasa nyaman jg klw ada barang yang ketinggalan aman . Terima kasih atas pelayanan dan fasilitas nya gojjek;5;POSITIF;1
Jangan mahal2 kasih tarif gorude & gocar. Kok makin hari makin naik aja. Cuma itu aja keluhan sy rasakan. Selain itu puas apalagi klu ada kendala CS/bantuan nya cepat di respon.;5;POSITIF;1
Saya kemarin top up diamond Mobile lengend.dari kemarin sampai sekarang kok masih belum masuk diamondnya ditambah lagi saya gk bisa main Mobile lengend lagi Dikarenakan entah knp tiba2 gk fungsi sistemnya tapi kalau suaranya Ada....heran,tolong yah pihak gojek saya bnr2 sangat dirugikan....bukan masalah top up nya tapi akun saya gk bisa dimainkan lagi....tolong kepada pihak gojek segera untuk diselesaikan masalah ini.sangat segera, terimakasih;5;POSITIF;1
Dngn adanya aplikasi Gojek sangat..sangat membantu saya dalam melakukan perjalanan,. Driver2 nya pun sangat ramah, bnyk discount nya dan bnyk pula voucher nya??????TOP BANGET;5;POSITIF;1
Tolong bantuannya min kok di gojek untuk piliha otp melalui sms/wa kok gx mucul lagi di menu otp.kemarin bisa lewat whatsap min.ini sekarang mau logi gk muncul min;5;POSITIF;1
Mudah dimengerti appnya...banyak promo..sukses selalu.. Aplikasi lancar jaya... Terimakasih;5;POSITIF;1
Saya sangat suka dengan aplikasi ini,selain murah,nyaman dan cepat Pokoknya gojek the bestt??????????;5;POSITIF;1
semenjak pembaharuan sekarang setiap pesan gomart selalu ada yg kurang pesanannya terus ga bisa pilih toko masa harus ngelaporin terus kalo ada yg kurang barangnya soalnya udh 2x;5;POSITIF;1
Suka dgn aplikasi ini mudah cepat dan ramah pelayanan;5;POSITIF;1
Gojek makin kesini makin mantap.cuma klo pas lg order go car knp suka cancel sih.kan buang2 waktu kita udah nunggu eeh cancel dari driver nya.but...gojek tetap mantap ??????;5;POSITIF;1
Saya selalu menggunakan Go-Food, saat driver kesulitan mencari alamat dia memberikan nomor telpnya agar bisa diberitahukan lokasi alamat tersebut, dan pengantarannya sangat cepat. Nice !;5;POSITIF;1
payah minta update terus ..padahal baru update makin payah xan puny aplikasi ..mkin lelet ..klo sdh gak bisa urus aplikasi...tutuplah xan ni....merugikan customer xan..bukan mebantu;5;POSITIF;1
Aplikasi yg cocok disaat keadaan darurat dan berpergian yang aman dan nyaman.;5;POSITIF;1
Terima kasih GO CAR, keluarga kami selalu menggunakan GO CAR dalam bepergian jauh maupun dekat, disamping memberikan rasa aman juga nyaman, apalagi saat ini cuaca lagi musim panas.;5;POSITIF;1
Saya sangat kecewa karena saya sering mengalami keterlambatan pengantaran. Ada aja masalahnya, toko tutup tapi masih bisa konfirmasi orderan lah, pergantian driver yang membuat saya harus menunggu sangat lama. Kondisi sedang sakit dan perut kosong, kadang kalau terlalu berharap dengan sesuatu bisa bikin sakit hati juga ya.;5;POSITIF;1
Semakin lebih baik. Terutama aturan baru mengenai kecepatan kendaraan yg dibatasi. Demi kenyamanan & keamanan penumpang. Terima kasih.;5;POSITIF;1
Sangat berguna dan membantu aktifitas saya.Sekarang promo nya mantap,jd pindah ke gofood sekarang.;5;POSITIF;1
Aplikasinya bagus. Tapi Driver gojegnya kadang g bs telepon atau di balas smsnya;5;POSITIF;1
awal pake gojek tahun 2017, belum pernah kecewa sampai sekarang. fiturnya juga sangat mempermudah keperluan sehari-hari apalagi soal makanan. promonya juga gede gede. makasih Gojek sudah menemani sampai saat ini.;5;POSITIF;1
Lebih di tingkatkan lagi untuk Navigasi Para Driver nya;5;POSITIF;1
Sangat membantu, kalo bisa lebih dbanyakin discountnya buat smwanya, khususnya buat goride yg dipake sehari hari;5;POSITIF;1
Makin kesini update sebulan bisa 3 kali.. tapi tetap sama tidak ada yg berubah ataupun yang baru.;5;POSITIF;1
Yg sangat disayangkan utk menentukan lokasi penjemputan, tdk bisa dirubah2 nama letak jalan dsbnya, jd terpaksa hrs mengikuti lokasi yg terdekat walaupun sangat tdk pas letaknya...kenapa bs spt itu ya?;5;POSITIF;1
Ngebantu nyari makan, nyari transportasi, apalagi sistem gopay nya bisa dipake dmn mn;5;POSITIF;1
Sudah lama langganan Gojek, aplikasi yg bnyak manfaatnya, apalagi dulu2 promo nya banyak. Tapi makin kesini promo terbatas, pemakaian voucher diskon terbatas, yg pasti buat mangkas pengeluaran perusahaan, cuma karena terbiasa dimanjakan dengan bnyak promo, ketika dibatasi sy pun jadi terbatas pakai aplikasi ini,;5;POSITIF;1
Komunikatif, cepat respon dan penjemputan cepat tiba.;5;POSITIF;1
Aplikasi yang sangat membantu, saat sedang butuh pasti bisa kasuh solusi. Makasih go jek,;5;POSITIF;1
Terimakasih dengan ada nya aplikasi ini jadi memudah kan kita semua Di tambah ada paylater pas banget buat nunggu gajian tiba ??;5;POSITIF;1
Ini adalah aplikasi pengantar barang terbaik yang pernah saya download. Saya sangat mengagumi aplikasi ini dan para pekerjanya.. saya bisa dengan mudah makan pizza hut tanpa keluar rumah. Bisa makan KFC tanpa bawa kendaraan. Bisa banyak pokoknya.. makasih banyak Gojek??;5;POSITIF;1
Aplikasi anak bangsa yg bikin bangga... Saya ada masukan... Agar untuk aplikasi chat nya di kembangkan agar bisa seperti Whatsapp... dan bisa di gunakan semudah aplikasi chat yg lainnya... Karena saya rasa itu benar benar sangat profitable kedepannya dan sangat berguna untuk kepentingan bangsa Indonesia umumnya... Ayo... Kudeta posisi whatsapp segera... Gojekindonesia????????????;5;POSITIF;1
sangat memuaskan dengan aplikasi ini, sukses buat semuanya, terutama buat para driver, sehat selalu, berkah;5;POSITIF;1
Ada beberapa drivernya yang kurang profesional sih... batalin secara tiba-tiba tanpa konfirmasi terlebih dahulu. Semoga driver yang kurang profesional ini mendapatkan arahan lebih lanjut. Setidaknya jika akan membatalkan konfirmasi terlebih dahulu pada cutomer.;5;POSITIF;1
GoFood sekarang lemot banget, jarak driver dan resto pun jauh (lebih dari 5KM), satu jam pesanan baru sampai, kelamaan nunggu. Ditambah driver tidak merespon dan meminta dibatalkan. Ribet!;5;POSITIF;1
aplikasi yg bagus sangat berguna, dan lebih memudahkan lagi untuk beraktivitas dan bertransaksi;5;POSITIF;1
Bagus, memudahkan dan sangat membantu dalam transportasi.;5;POSITIF;1
Antara penerima dan pengirim diperjelas lagi, kadang membingungkan untuk pemula bahasa aplikasinya;5;POSITIF;1
Sangat terbantu sekali dengan apk ini,transaksi mudah cepat dan akurat.;5;POSITIF;1
Bagus ???? Kalo saya lagi ga ada yang bisa jemput waktu pulsek, ini membantu banget. Apalgai banyak promonya.;5;POSITIF;1
Setelah pembaruan kok jadi sering error, tiap kali mau buka aplikasi selalu kluar sendiri;5;POSITIF;1
Lah ada gopay 250k, mau login 3 hari ini eror muluu. Sumpah saat aplikasi diinstal ulang bisa dibuka saat login dengan nomor hp malah eror trus keluar sendiri. Tolongg 250k menurut saya bukan angka uang yang kecil;5;POSITIF;1
Tidak bisa masuk ke acount lama krn no sdh tidak aktif, bisakah menerima kode otp via whatsap , mohon bantuan nya;5;POSITIF;1
"Cocok Dengan kondisi Saku,. Mudah Dimengerti & Dipahami, Walaupun Suka Ada Kendala Kecil Tanpa Penjelesan.. Harapanku Beserta Seluruh Rakyat Indonesia Adalah,; Go-Jek Mampu Melayani Indonesia Dengan Sopan Santun Serta Tatakrama yg Baik Dalam Kondisi Apapun, Agar Pemesan & Driver Go-Jek Merasakan Kepuasan Tersendiri Dari Apa Yg Dipesan & Diantar Dalam 1 TripPoint Sesuai Serta Dapat Bonus Rating Yg Terbaik Juga.. Asalkan Kurir Pengantar Melayani Dengan Baik & Tutur Kata yg Baik Tanpa Ada Modus..";5;POSITIF;1
Suka banget sama gojek sekarang + sama tokped jdi gampang klo bisa isi saldonya juga harus gampang kerjasama juga sama indomaret ????;5;POSITIF;1
Skrg gopay byk dipakai dimana-mana jadi tolong ditambah promo atau potongan setiap ada transaksi biar semakin byk org yg menggunakan merasa lebih hemat dan untung.;5;POSITIF;1
Batal bintang 5 nya, komplainan terlalu lama di respon dan tidak ada tindak lanjutnya;5;POSITIF;1
Dikasih voucher tapi selalu dibohongi alias prank karena tidak bisa digunakan, selalu. Payah. Sangat buruk.;5;POSITIF;1
Sangat bagus dan sangat membantu terutama untuk yg ga ada kendaraan angkot sangat membantu baget .;5;POSITIF;1
Semua voucher tiba tiba hilang, udah coba chat cs di aplikasinya pun ga ada respon;5;POSITIF;1
Aplikasi sangat bagus, penyelesaian masalah sangat cepat ditanggapi. Terimakasih banyak, akun saya yang sebelumnya kena suspend tanpa penjelasan dan bukti jelas, kini sudah kembali. Terimakasih banyak gojek. Maju terus...;5;POSITIF;1
Sangat membantu dan sangat bermanfaat.. bagi saya yg ga bs bawa motor dan mobil.. kalo hari hujan jg enak.. ga repot..tinggal order;5;POSITIF;1
Saya update beberapa kali gag bisa ada apa dgn sistem gojek terbaru ? Begitu sdh di unduh saat menginstal selalu bermasalah .padahal app yg lain gag ada masalah. Semoga lebih baik ddalam pelayanan app gojek;5;POSITIF;1
Prosedur ngga ribet, simpel, mudah dipahami, cepat pula;5;POSITIF;1
Sopirnya ramah,sopan n nyetirnya pelan enak n gak ngebut pokoknya sipp layanan go carnya, tingkatkan yaa...;5;POSITIF;1
Apk sudah bagus!, cuman jika boleh saran untuk pembayaran menggunakan gopay. kedepannya bisa dibuat fitur pembayaran bentuk kartu untuk bisa transaksi di market sama di kendaraan umum atau transaksi lainya.;5;POSITIF;1
Solusi terbaik mengatasi masalah yang sering telat berangkat kuliah wkwk;5;POSITIF;1
Kenapa ya aplikasi saya keluar sendiri aja, udah saya hapus cache juga udah install ulang. Jd berasa nggak nyaman;5;POSITIF;1
Jos nih aplikasi, ga cuma buat ojek online. Ada fitur gopaylater dan gopay cicil.. * Gopay later bisa di pake belanja, bayar bulan depan. * Gopay cicil bisa di pake belanja, bayar bisa tempo sampai 12 bulan. Pokoknya mantep banget..;5;POSITIF;1
Aplikasi mudah diakses, tampilan gaul, layanannya cepat nih, good job ??;5;POSITIF;1
Aku sangat berharap, gojek menggunakan google map harus benar2 pasti dan jln yg lebih dekat, tp tidak masuk jln sempit ok?;5;POSITIF;1
Kenapa punya aku loading terus ya padahal sudah saya uninstall tapi masih loading. Dan kenapa sekarang gak ada voucher lagi ya hmm;5;POSITIF;1
Selama ini apk nya sangat membantu dan nyaman digunakan. Tapi baru baru ini sering kesal karna promo yang ada di gofood hanya dapat dipilih salah satu saja. Padahal salah satu alasan saya menggunakan apk gojek ini karna promonya dan membuat harga makanan yang ramah di kantong ??;5;POSITIF;1
